"force-z"
"Iteration" "cd-z"
("Iteration" "cd-z")
1 -10280.21105014961
2 -11826.7739892489
3 -11746.78736015712
4 -11272.23580071253
5 -10866.93914897575
6 -10610.93390458474
7 -10386.80255744561
8 -10314.27725779073
9 -10359.65651753471
10 -10468.38399078427
11 -10571.86373051618
12 -10651.60141457989
13 -10689.84962865219
14 -10691.80205979237
15 -10667.27614867393
16 -10617.79002051196
17 -10545.4887214856
18 -10458.44514469813
19 -10366.62162008227
20 -10279.90327125078
21 -10202.42112588509
22 -10139.76878954515
23 -10095.27398609746
24 -10073.30741930768
25 -10071.0483334994
26 -9487.804045410285
27 -9317.753740987195
28 -9295.964414230721
29 -9379.169737140692
30 -9487.305978175482
31 -9606.805608253038
32 -9701.489576996111
33 -9786.634858127489
34 -9854.668148211103
35 -9908.004269717123
36 -9940.986399370588
37 -9958.02560689631
38 -9948.943330414302
39 -9926.420956797963
40 -9887.202891928866
41 -9835.886307768622
42 -9777.666250092898
43 -9726.437826463689
44 -9679.474316953445
45 -9639.225253322058
46 -9603.799830640468
47 -9576.560961032248
48 -9560.200868580308
49 -9545.988058580644
50 -9536.973729840789
51 -9531.941363429942
52 -9530.645246094638
53 -9531.990185287621
54 -9531.61419536263
55 -9535.572993626851
56 -9540.534737630402
57 -9547.85004654719
58 -9554.557291071767
59 -9563.205023790995
60 -9570.452069271039
61 -9575.777750067238
62 -9579.463929266763
63 -9580.97155163655
64 -9580.757358966521
65 -9578.854093259393
66 -9576.226479572126
67 -9573.112290016055
68 -9570.442209611967
69 -9568.355720273279
70 -9567.669966211037
71 -9568.214823299912
72 -9569.643575151056
73 -9572.591912197848
74 -9574.920452242048
75 -9579.147509385839
76 -9582.348429384967
77 -9586.852229077662
78 -9590.272874254048
79 -9594.813046848732
80 -9598.188601880815
81 -9602.323968022138
82 -9605.251382484061
83 -9608.837474482694
84 -9611.107129416501
85 -9613.879027178942
86 -9615.357918235575
87 -9617.289583757787
88 -9617.985463794694
89 -9618.5482439363
90 -9619.304745301744
91 -9619.39394579635
92 -9619.604959015753
93 -9618.983909537566
94 -9618.102897067689
95 -9617.775417660238
96 -9616.015262722376
97 -9615.360981243939
98 -9613.722250188788
99 -9613.46575955134
100 -9612.07904436581
