Rocket,Launch,Mach Number,Pitch (deg),Roll (deg),drag vector (N),Total Drag (N),C_D vector,Total C_D,Moment x_locations,Moments (Nm),C_M vectors
Athena,v2,0.2,9,0,"[-19.319, -5.521, -58.78]",62.119,"[-0.485, -0.139, -1.476]",1.56,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.133, 45.864, -5.813], [0.133, 39.986, -5.261], [0.133, 34.108, -4.709], [0.133, 28.23, -4.157], [0.133, 22.352, -3.605], [0.133, 16.474, -3.053], [0.133, 10.596, -2.501], [0.133, 4.718, -1.949], [0.133, -1.16, -1.397], [0.133, -7.038, -0.845], [0.133, -12.916, -0.292], [0.133, -18.794, 0.26], [0.133, -24.672, 0.812], [0.133, -30.55, 1.364], [0.133, -36.428, 1.916], [0.133, -42.306, 2.468], [0.133, -48.184, 3.02], [0.133, -54.062, 3.572], [0.133, -59.94, 4.124], [0.133, -65.818, 4.676], [0.133, -71.696, 5.228], [0.133, -77.574, 5.781], [0.133, -83.452, 6.333], [0.133, -89.33, 6.885], [0.133, -95.208, 7.437]]","[[0.026, 8.794, -1.115], [0.026, 7.667, -1.009], [0.026, 6.54, -0.903], [0.026, 5.413, -0.797], [0.026, 4.286, -0.691], [0.026, 3.159, -0.585], [0.026, 2.032, -0.48], [0.026, 0.905, -0.374], [0.026, -0.222, -0.268], [0.026, -1.349, -0.162], [0.026, -2.477, -0.056], [0.026, -3.604, 0.05], [0.026, -4.731, 0.156], [0.026, -5.858, 0.262], [0.026, -6.985, 0.367], [0.026, -8.112, 0.473], [0.026, -9.239, 0.579], [0.026, -10.366, 0.685], [0.026, -11.493, 0.791], [0.026, -12.62, 0.897], [0.026, -13.747, 1.002], [0.026, -14.874, 1.108], [0.026, -16.001, 1.214], [0.026, -17.128, 1.32], [0.026, -18.255, 1.426]]"
Athena,v2,0.65,5,15,"[-197.068, -76.613, -383.872]",438.25,"[-0.469, -0.182, -0.913]",1.042,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.738, 263.052, -66.886], [0.738, 224.665, -59.225], [0.738, 186.278, -51.564], [0.738, 147.891, -43.902], [0.738, 109.504, -36.241], [0.738, 71.116, -28.58], [0.738, 32.729, -20.918], [0.738, -5.658, -13.257], [0.738, -44.045, -5.596], [0.738, -82.432, 2.065], [0.738, -120.819, 9.727], [0.738, -159.207, 17.388], [0.738, -197.594, 25.049], [0.738, -235.981, 32.71], [0.738, -274.368, 40.372], [0.738, -312.755, 48.033], [0.738, -351.142, 55.694], [0.738, -389.53, 63.355], [0.738, -427.917, 71.017], [0.738, -466.304, 78.678], [0.738, -504.691, 86.339], [0.738, -543.078, 94.001], [0.738, -581.465, 101.662], [0.738, -619.853, 109.323], [0.738, -658.24, 116.984]]","[[0.013, 4.775, -1.214], [0.013, 4.078, -1.075], [0.013, 3.381, -0.936], [0.013, 2.685, -0.797], [0.013, 1.988, -0.658], [0.013, 1.291, -0.519], [0.013, 0.594, -0.38], [0.013, -0.103, -0.241], [0.013, -0.8, -0.102], [0.013, -1.496, 0.037], [0.013, -2.193, 0.177], [0.013, -2.89, 0.316], [0.013, -3.587, 0.455], [0.013, -4.284, 0.594], [0.013, -4.981, 0.733], [0.013, -5.677, 0.872], [0.013, -6.374, 1.011], [0.013, -7.071, 1.15], [0.013, -7.768, 1.289], [0.013, -8.465, 1.428], [0.013, -9.162, 1.567], [0.013, -9.858, 1.706], [0.013, -10.555, 1.845], [0.013, -11.252, 1.985], [0.013, -11.949, 2.124]]"
Athena,v2,0.65,4,15,"[-196.983, -63.747, -302.448]",366.525,"[-0.468, -0.152, -0.719]",0.872,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.402, 204.846, -52.031], [0.402, 174.601, -45.656], [0.402, 144.356, -39.281], [0.402, 114.111, -32.907], [0.402, 83.867, -26.532], [0.402, 53.622, -20.157], [0.402, 23.377, -13.783], [0.402, -6.868, -7.408], [0.402, -37.113, -1.033], [0.402, -67.358, 5.341], [0.402, -97.602, 11.716], [0.402, -127.847, 18.091], [0.402, -158.092, 24.465], [0.402, -188.337, 30.84], [0.402, -218.582, 37.215], [0.402, -248.827, 43.589], [0.402, -279.071, 49.964], [0.402, -309.316, 56.339], [0.402, -339.561, 62.713], [0.402, -369.806, 69.088], [0.402, -400.051, 75.463], [0.402, -430.296, 81.837], [0.402, -460.54, 88.212], [0.402, -490.785, 94.587], [0.402, -521.03, 100.961]]","[[0.007, 3.719, -0.945], [0.007, 3.17, -0.829], [0.007, 2.62, -0.713], [0.007, 2.071, -0.597], [0.007, 1.522, -0.482], [0.007, 0.973, -0.366], [0.007, 0.424, -0.25], [0.007, -0.125, -0.134], [0.007, -0.674, -0.019], [0.007, -1.223, 0.097], [0.007, -1.772, 0.213], [0.007, -2.321, 0.328], [0.007, -2.87, 0.444], [0.007, -3.419, 0.56], [0.007, -3.968, 0.676], [0.007, -4.517, 0.791], [0.007, -5.066, 0.907], [0.007, -5.615, 1.023], [0.007, -6.164, 1.138], [0.007, -6.713, 1.254], [0.007, -7.262, 1.37], [0.007, -7.811, 1.486], [0.007, -8.36, 1.601], [0.007, -8.909, 1.717], [0.007, -9.458, 1.833]]"
Athena,v2,0.5,9,0,"[-116.012, -1.561, -439.494]",454.551,"[-0.466, -0.006, -1.766]",1.827,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.077, 327.084, 1.867], [0.077, 283.134, 2.023], [0.077, 239.185, 2.18], [0.077, 195.235, 2.336], [0.077, 151.286, 2.492], [0.077, 107.337, 2.648], [0.077, 63.387, 2.804], [0.077, 19.438, 2.96], [0.077, -24.512, 3.116], [0.077, -68.461, 3.273], [0.077, -112.411, 3.429], [0.077, -156.36, 3.585], [0.077, -200.309, 3.741], [0.077, -244.259, 3.897], [0.077, -288.208, 4.053], [0.077, -332.158, 4.209], [0.077, -376.107, 4.366], [0.077, -420.056, 4.522], [0.077, -464.006, 4.678], [0.077, -507.955, 4.834], [0.077, -551.905, 4.99], [0.077, -595.854, 5.146], [0.077, -639.804, 5.302], [0.077, -683.753, 5.459], [0.077, -727.702, 5.615]]","[[0.002, 10.034, 0.057], [0.002, 8.686, 0.062], [0.002, 7.338, 0.067], [0.002, 5.989, 0.072], [0.002, 4.641, 0.076], [0.002, 3.293, 0.081], [0.002, 1.945, 0.086], [0.002, 0.596, 0.091], [0.002, -0.752, 0.096], [0.002, -2.1, 0.1], [0.002, -3.449, 0.105], [0.002, -4.797, 0.11], [0.002, -6.145, 0.115], [0.002, -7.493, 0.12], [0.002, -8.842, 0.124], [0.002, -10.19, 0.129], [0.002, -11.538, 0.134], [0.002, -12.887, 0.139], [0.002, -14.235, 0.144], [0.002, -15.583, 0.148], [0.002, -16.932, 0.153], [0.002, -18.28, 0.158], [0.002, -19.628, 0.163], [0.002, -20.976, 0.167], [0.002, -22.325, 0.172]]"
Athena,v2,0.5,9,45,"[-116.404, -287.581, -278.596]",416.976,"[-0.468, -1.156, -1.12]",1.676,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.927, 220.072, -233.653], [0.927, 192.213, -204.895], [0.927, 164.353, -176.137], [0.927, 136.493, -147.379], [0.927, 108.634, -118.621], [0.927, 80.774, -89.863], [0.927, 52.914, -61.105], [0.927, 25.055, -32.347], [0.927, -2.805, -3.589], [0.927, -30.665, 25.169], [0.927, -58.524, 53.927], [0.927, -86.384, 82.685], [0.927, -114.243, 111.443], [0.927, -142.103, 140.202], [0.927, -169.963, 168.96], [0.927, -197.822, 197.718], [0.927, -225.682, 226.476], [0.927, -253.542, 255.234], [0.927, -281.401, 283.992], [0.927, -309.261, 312.75], [0.927, -337.121, 341.508], [0.927, -364.98, 370.266], [0.927, -392.84, 399.024], [0.927, -420.7, 427.782], [0.927, -448.559, 456.54]]","[[0.028, 6.751, -7.168], [0.028, 5.897, -6.286], [0.028, 5.042, -5.404], [0.028, 4.187, -4.521], [0.028, 3.333, -3.639], [0.028, 2.478, -2.757], [0.028, 1.623, -1.875], [0.028, 0.769, -0.992], [0.028, -0.086, -0.11], [0.028, -0.941, 0.772], [0.028, -1.795, 1.654], [0.028, -2.65, 2.537], [0.028, -3.505, 3.419], [0.028, -4.359, 4.301], [0.028, -5.214, 5.183], [0.028, -6.069, 6.066], [0.028, -6.924, 6.948], [0.028, -7.778, 7.83], [0.028, -8.633, 8.712], [0.028, -9.488, 9.595], [0.028, -10.342, 10.477], [0.028, -11.197, 11.359], [0.028, -12.052, 12.241], [0.028, -12.906, 13.124], [0.028, -13.761, 14.006]]"
Athena,v2,0.05,9,45,"[-1.504, -2.929, -2.79]",4.316,"[-0.605, -1.177, -1.121]",1.735,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.013, 2.373, -2.541], [0.013, 2.094, -2.248], [0.013, 1.815, -1.955], [0.013, 1.536, -1.662], [0.013, 1.257, -1.369], [0.013, 0.978, -1.076], [0.013, 0.699, -0.783], [0.013, 0.42, -0.49], [0.013, 0.141, -0.198], [0.013, -0.138, 0.095], [0.013, -0.417, 0.388], [0.013, -0.696, 0.681], [0.013, -0.975, 0.974], [0.013, -1.254, 1.267], [0.013, -1.533, 1.56], [0.013, -1.813, 1.853], [0.013, -2.092, 2.146], [0.013, -2.371, 2.439], [0.013, -2.65, 2.732], [0.013, -2.929, 3.025], [0.013, -3.208, 3.318], [0.013, -3.487, 3.61], [0.013, -3.766, 3.903], [0.013, -4.045, 4.196], [0.013, -4.324, 4.489]]","[[0.04, 7.28, -7.795], [0.04, 6.424, -6.896], [0.04, 5.568, -5.998], [0.04, 4.712, -5.099], [0.04, 3.856, -4.2], [0.04, 3.0, -3.301], [0.04, 2.144, -2.402], [0.04, 1.288, -1.503], [0.04, 0.433, -0.607], [0.04, -0.423, 0.291], [0.04, -1.279, 1.19], [0.04, -2.135, 2.089], [0.04, -2.991, 2.988], [0.04, -3.847, 3.887], [0.04, -4.703, 4.786], [0.04, -5.562, 5.685], [0.04, -6.418, 6.584], [0.04, -7.274, 7.482], [0.04, -8.13, 8.381], [0.04, -8.986, 9.28], [0.04, -9.842, 10.179], [0.04, -10.698, 11.075], [0.04, -11.553, 11.974], [0.04, -12.409, 12.873], [0.04, -13.265, 13.771]]"
Athena,v2,0.8,13,15,"[-310.578, -357.268, -1792.926]",1854.369,"[-0.488, -0.561, -2.815]",2.911,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[12.144, 1302.534, -341.558], [12.144, 1123.241, -305.831], [12.144, 943.948, -270.104], [12.144, 764.656, -234.377], [12.144, 585.363, -198.651], [12.144, 406.07, -162.924], [12.144, 226.778, -127.197], [12.144, 47.485, -91.47], [12.144, -131.808, -55.744], [12.144, -311.1, -20.017], [12.144, -490.393, 15.71], [12.144, -669.686, 51.437], [12.144, -848.978, 87.164], [12.144, -1028.271, 122.89], [12.144, -1207.563, 158.617], [12.144, -1386.856, 194.344], [12.144, -1566.149, 230.071], [12.144, -1745.441, 265.798], [12.144, -1924.734, 301.524], [12.144, -2104.027, 337.251], [12.144, -2283.319, 372.978], [12.144, -2462.612, 408.705], [12.144, -2641.904, 444.432], [12.144, -2821.197, 480.158], [12.144, -3000.49, 515.885]]","[[0.146, 15.609, -4.093], [0.146, 13.461, -3.665], [0.146, 11.312, -3.237], [0.146, 9.163, -2.809], [0.146, 7.015, -2.381], [0.146, 4.866, -1.952], [0.146, 2.718, -1.524], [0.146, 0.569, -1.096], [0.146, -1.58, -0.668], [0.146, -3.728, -0.24], [0.146, -5.877, 0.188], [0.146, -8.025, 0.616], [0.146, -10.174, 1.045], [0.146, -12.322, 1.473], [0.146, -14.471, 1.901], [0.146, -16.62, 2.329], [0.146, -18.768, 2.757], [0.146, -20.917, 3.185], [0.146, -23.065, 3.613], [0.146, -25.214, 4.042], [0.146, -27.363, 4.47], [0.146, -29.511, 4.898], [0.146, -31.66, 5.326], [0.146, -33.808, 5.754], [0.146, -35.957, 6.182]]"
Athena,v2,0.65,13,0,"[-188.132, -46.722, -1154.328]",1170.492,"[-0.447, -0.111, -2.745]",2.783,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[-1.028, 876.714, -19.104], [-1.028, 761.281, -14.431], [-1.028, 645.848, -9.759], [-1.028, 530.416, -5.087], [-1.028, 414.983, -0.415], [-1.028, 299.55, 4.257], [-1.028, 184.117, 8.93], [-1.028, 68.684, 13.602], [-1.028, -46.749, 18.274], [-1.028, -162.181, 22.946], [-1.028, -277.614, 27.618], [-1.028, -393.047, 32.291], [-1.028, -508.48, 36.963], [-1.028, -623.913, 41.635], [-1.028, -739.346, 46.307], [-1.028, -854.778, 50.979], [-1.028, -970.211, 55.652], [-1.028, -1085.644, 60.324], [-1.028, -1201.077, 64.996], [-1.028, -1316.51, 69.668], [-1.028, -1431.942, 74.34], [-1.028, -1547.375, 79.012], [-1.028, -1662.808, 83.685], [-1.028, -1778.241, 88.357], [-1.028, -1893.674, 93.029]]","[[-0.019, 15.915, -0.347], [-0.019, 13.819, -0.262], [-0.019, 11.724, -0.177], [-0.019, 9.629, -0.092], [-0.019, 7.533, -0.008], [-0.019, 5.438, 0.077], [-0.019, 3.342, 0.162], [-0.019, 1.247, 0.247], [-0.019, -0.849, 0.332], [-0.019, -2.944, 0.417], [-0.019, -5.039, 0.501], [-0.019, -7.135, 0.586], [-0.019, -9.23, 0.671], [-0.019, -11.326, 0.756], [-0.019, -13.421, 0.841], [-0.019, -15.517, 0.925], [-0.019, -17.612, 1.01], [-0.019, -19.708, 1.095], [-0.019, -21.803, 1.18], [-0.019, -23.898, 1.265], [-0.019, -25.994, 1.349], [-0.019, -28.089, 1.434], [-0.019, -30.185, 1.519], [-0.019, -32.28, 1.604], [-0.019, -34.376, 1.689]]"
Athena,v2,0.3,13,0,"[-39.624, -7.269, -234.363]",237.8,"[-0.442, -0.081, -2.616]",2.655,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.035, 187.978, -3.513], [0.035, 164.542, -2.786], [0.035, 141.106, -2.059], [0.035, 117.669, -1.332], [0.035, 94.233, -0.605], [0.035, 70.797, 0.122], [0.035, 47.361, 0.849], [0.035, 23.924, 1.576], [0.035, 0.488, 2.303], [0.035, -22.948, 3.029], [0.035, -46.385, 3.756], [0.035, -69.821, 4.483], [0.035, -93.257, 5.21], [0.035, -116.694, 5.937], [0.035, -140.13, 6.664], [0.035, -163.566, 7.391], [0.035, -187.003, 8.118], [0.035, -210.439, 8.845], [0.035, -233.875, 9.572], [0.035, -257.312, 10.298], [0.035, -280.748, 11.025], [0.035, -304.184, 11.752], [0.035, -327.62, 12.479], [0.035, -351.057, 13.206], [0.035, -374.493, 13.933]]","[[0.003, 16.019, -0.299], [0.003, 14.022, -0.237], [0.003, 12.025, -0.175], [0.003, 10.027, -0.114], [0.003, 8.03, -0.052], [0.003, 6.033, 0.01], [0.003, 4.036, 0.072], [0.003, 2.039, 0.134], [0.003, 0.042, 0.196], [0.003, -1.956, 0.258], [0.003, -3.953, 0.32], [0.003, -5.95, 0.382], [0.003, -7.947, 0.444], [0.003, -9.944, 0.506], [0.003, -11.942, 0.568], [0.003, -13.939, 0.63], [0.003, -15.936, 0.692], [0.003, -17.933, 0.754], [0.003, -19.93, 0.816], [0.003, -21.927, 0.878], [0.003, -23.925, 0.94], [0.003, -25.922, 1.001], [0.003, -27.919, 1.063], [0.003, -29.916, 1.125], [0.003, -31.913, 1.187]]"
Athena,v2,0.35,13,45,"[-54.447, -212.445, -198.402]",295.738,"[-0.447, -1.742, -1.627]",2.426,"[-3.0, -2.9, -2.8, -2.7, -2.6, -2.5, -2.4, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3, -1.2, -1.1, -1.0, -0.9, -0.8, -0.7, -0.6]","[[0.301, 171.222, -183.239], [0.301, 151.381, -161.994], [0.301, 131.541, -140.75], [0.301, 111.701, -119.505], [0.301, 91.861, -98.261], [0.301, 72.021, -77.016], [0.301, 52.18, -55.772], [0.301, 32.34, -34.527], [0.301, 12.5, -13.283], [0.301, -7.34, 7.962], [0.301, -27.181, 29.206], [0.301, -47.021, 50.451], [0.301, -66.861, 71.695], [0.301, -86.701, 92.94], [0.301, -106.542, 114.184], [0.301, -126.382, 135.429], [0.301, -146.222, 156.673], [0.301, -166.062, 177.918], [0.301, -185.903, 199.162], [0.301, -205.743, 220.407], [0.301, -225.583, 241.651], [0.301, -245.423, 262.896], [0.301, -265.264, 284.14], [0.301, -285.104, 305.385], [0.301, -304.944, 326.629]]","[[0.019, 10.72, -11.472], [0.019, 9.478, -10.142], [0.019, 8.236, -8.812], [0.019, 6.993, -7.482], [0.019, 5.751, -6.152], [0.019, 4.509, -4.822], [0.019, 3.267, -3.492], [0.019, 2.025, -2.162], [0.019, 0.783, -0.832], [0.019, -0.46, 0.498], [0.019, -1.702, 1.829], [0.019, -2.944, 3.159], [0.019, -4.186, 4.489], [0.019, -5.428, 5.819], [0.019, -6.67, 7.149], [0.019, -7.913, 8.479], [0.019, -9.155, 9.809], [0.019, -10.397, 11.139], [0.019, -11.639, 12.469], [0.019, -12.881, 13.799], [0.019, -14.123, 15.129], [0.019, -15.366, 16.46], [0.019, -16.608, 17.79], [0.019, -17.85, 19.12], [0.019, -19.092, 20.45]]"
