Rocket,Launch,Mach Number,Pitch (deg),Roll (deg),drag_x (N),drag_y (N),drag_z (N),Total Drag (N),C_D_x,C_D_y,C_D_z,Total C_D
athena,westmar,0.6,15,0,218.63297,97.144267,1174.1587,1198.285,0.219,0.097,1.176,1.2
athena,westmar,0.35,15,0,76.665674,33.860183,390.8689,399.753,0.077,0.034,0.392,0.401
athena,westmar,0.7,2,0,285.21431,1.2114196,212.89521,355.912,0.285,0.001,0.213,0.356
athena,westmar,0.35,7,0,77.759279,2.8674217,175.60512,192.073,0.078,0.003,0.176,0.193
athena,westmar,0.2,15,0,25.893417,11.980973,128.09318,131.232,0.026,0.012,0.129,0.132
athena,westmar,0.5,7,0,155.57543,5.6523194,362.91728,394.898,0.156,0.006,0.364,0.396
athena,westmar,0.15,2,0,14.032384,0.10136406,9.2061748,16.783,0.014,0.0,0.009,0.017
athena,westmar,0.2,7,0,26.142983,1.0235536,56.951387,62.673,0.026,0.001,0.057,0.063
athena,westmar,0.65,2,0,246.16927,1.1139933,182.02501,306.16,0.246,0.001,0.182,0.306
athena,westmar,0.1,3,0,-70.923086,-0.61250741,-7.3808634,71.309,-0.071,-0.001,-0.007,0.071
athena,westmar,0.6,3,0,213.26253,1.1956795,227.66393,311.951,0.214,0.001,0.228,0.313
athena,westmar,0.65,3,0,249.67012,1.3810262,269.23258,367.183,0.25,0.001,0.269,0.367
athena,westmar,0.15,3,0,14.36222,-0.0017067888,13.859643,19.959,0.014,-0.0,0.014,0.02
athena,westmar,0.25,7,0,40.399004,1.5513665,89.145139,97.884,0.041,0.002,0.089,0.098
athena,westmar,0.6,2,0,210.23072,0.9285668,153.94746,260.572,0.21,0.001,0.154,0.26
athena,westmar,0.55,7,0,187.29387,6.7612179,441.76124,479.873,0.188,0.007,0.442,0.48
athena,westmar,0.1,2,0,-11.407829,-43.81915,-58.761697,74.184,-0.011,-0.044,-0.059,0.074
athena,westmar,0.55,10,0,187.46976,16.278825,645.65855,672.521,0.188,0.016,0.647,0.674
athena,westmar,0.5,15,0,153.11747,66.880967,804.85065,822.011,0.153,0.067,0.806,0.823
athena,westmar,0.3,7,0,57.609367,2.1731832,128.63409,140.962,0.058,0.002,0.129,0.141
athena,westmar,0.4,7,0,100.81805,3.7106072,230.16002,251.3,0.101,0.004,0.231,0.252
athena,westmar,0.1,15,0,7.0984702,2.9823269,32.449555,33.351,0.007,0.003,0.033,0.034
athena,westmar,0.7,3,0,289.20365,1.4679478,315.26134,427.821,0.289,0.001,0.315,0.427
athena,westmar,0.6,0,0,207.03751,0.56468993,1.9941808,207.048,0.207,0.001,0.002,0.207
athena,westmar,0.25,5,0,39.632354,0.54835027,63.265103,74.656,0.04,0.001,0.063,0.075
athena,westmar,0.1,0,0,6.271022,0.012339972,0.060295727,6.271,0.006,0.0,0.0,0.006
athena,westmar,0.55,5,0,184.36397,2.4014062,312.92224,363.203,0.185,0.002,0.313,0.364
athena,westmar,0.65,1,0,243.28423,1.0261597,92.517381,260.284,0.244,0.001,0.093,0.261
athena,westmar,0.2,4,0,25.288483,0.21367547,32.453894,41.144,0.025,0.0,0.033,0.041
athena,westmar,0.4,12,0,100.22275,17.903911,408.75445,421.243,0.1,0.018,0.41,0.422
athena,westmar,0.15,12,0,14.855147,2.9997251,56.898181,58.882,0.015,0.003,0.057,0.059
athena,westmar,0.15,1,0,13.740138,0.094864746,4.6737478,14.514,0.014,0.0,0.005,0.015
athena,westmar,0.5,4,0,151.33946,1.3516066,206.3808,255.927,0.152,0.001,0.207,0.257
athena,westmar,0.55,12,0,185.91382,32.347257,781.96199,804.41,0.186,0.032,0.783,0.805
athena,westmar,0.6,9,0,222.58094,16.304312,692.0546,727.15,0.223,0.016,0.693,0.728
athena,westmar,0.1,9,0,-1.2292724,32.258573,-22.98702,39.63,-0.001,0.032,-0.023,0.039
athena,westmar,0.35,4,0,75.484297,0.60927838,100.03536,125.321,0.076,0.001,0.1,0.126
athena,westmar,0.7,1,0,281.93441,1.1597015,108.12861,301.961,0.282,0.001,0.108,0.302
athena,westmar,0.45,4,0,123.22121,1.1198463,166.44977,207.1,0.123,0.001,0.167,0.207
athena,westmar,0.3,5,0,56.567855,0.77729767,91.287866,107.396,0.057,0.001,0.092,0.108
athena,westmar,0.4,5,0,99.120446,1.3661764,163.29,191.024,0.099,0.001,0.164,0.192
athena,westmar,0.15,9,0,14.716328,1.3483559,43.465331,45.909,0.015,0.001,0.044,0.046
athena,westmar,0.65,9,0,260.36606,19.009996,819.56694,860.141,0.261,0.019,0.82,0.861
