Pressure (hPa),ICAO Height (m),Temperature (C),Dew Point (C),Wind Direction (degree),Wind Speed (knots)
988,219,23,17,55,9
973,351,20.8,14.8,34,10
960,466,21.4,12.5,15,11
955,511,21.6,11.6,4,11
936,684,21,10.3,320,13
925,785,20.6,9.6,305,16
907,955,20.3,7.8,285,12
901,1012,20.2,7.2,283,13
850,1511,16.4,5.4,265,19
840,1611,15.6,5.1,260,19
800,2022,12,4,275,22
782,2213,10.4,3.4,271,21
723,2861,4.6,4.6,258,19
722,2872,4.4,4.3,257,18
715,2952,4,4,256,18
712,2986,3.7,3.7,255,18
700,3124,2.6,2.3,260,20
656,3646,-0.9,-0.9,264,25
649,3731,-1.2,-2.8,265,26
630,3968,-1.9,-7.9,262,25
621,4082,-2.5,-6.8,260,24
615,4159,-2.5,-8.5,259,24
611,4211,-2.1,-19.1,259,24
589,4501,-4.2,-31.7,255,22
588,4514,-4.3,-32.3,256,22
577,4662,-5.3,-27.3,266,24
563,4854,-6.9,-12.9,279,27
562,4868,-7,-13.1,280,27
554,4980,-7.7,-14.7,277,28
548,5064,-8.1,-19.1,276,28
543,5135,-7.7,-39.7,274,29
540,5178,-7.7,-33.7,273,29
531,5308,-9.1,-23.8,270,30
528,5352,-9.5,-20.5,271,30
517,5514,-10.7,-23.7,274,30
500,5770,-12.5,-19.5,280,31
488,5955,-14.2,-18.5,275,27
478,6113,-15.7,-17.7,277,29
461,6386,-18.1,-23.1,279,32
457,6451,-18.3,-28.3,280,33
448,6600,-19.3,-23.6,281,35
441,6717,-18.9,-40.9,283,36
435,6820,-19.1,-47.1,284,37
434,6837,-19.3,-46.3,284,38
408,7295,-22.5,-51.5,289,43
400,7440,-23.7,-50.7,290,45
332,8769,-35.5,-57.5,303,50
324,8938,-36.3,-58.9,305,51
307,9311,-38.1,-62.1,302,71
300,9470,-37.7,-65.7,300,80
298,9516,-37.7,-66.7,300,82
294,9608,-38.2,-66.9,300,85
250,10710,-44.1,-69.1,295,106
220,11553,-50,-67.4,300,125
215,11704,-51.1,-67.1,299,122
202,12106,-54.1,-73.1,296,115
200,12170,-53.9,-75.9,295,114
181,12808,-54.3,-81.3,293,111
150,13990,-60.5,-84.5,290,106
131,14825,-65.3,-86.7,290,99
129,14920,-65.9,-86.9,290,96
117,15510,-66.9,-88.3,285,61
105,16165,-68,-89.8,305,51
100,16460,-68.5,-90.5,305,53
91,17023,-69.1,-91.1,280,43
85,17431,-69.5,-91.5,275,34
83,17573,-69.7,-91.7,290,29
81,17718,-69.8,-91.8,305,32
76,18099,-70.2,-92.2,310,36
75,18154,-70.3,-92.3,312,33
72,18422,-69.2,-91.8,320,20
70,18590,-68.5,-91.5,320,25
68,18766,-66.9,-91.5,315,29
66,18948,-65.2,-91.5,285,20
65,19040,-64.4,-91.5,285,10
62,19250,-62.5,-91.5,214,7
60,19530,-63.4,-91.6,120,2
56,19909,-64.7,-91.7,57,9
56,19953,-64.5,-91.7,50,10
53,20292,-62.9,-91.5,25,20
50,20650,-61.3,-91.3,25,10
48,20905,-60.2,-91.2,0,17
47,21036,-59.6,-91.1,5,10
46,21143,-59.1,-91.1,8,9
43,21476,-60.9,-90.9,17,5
43,21592,-60.6,-90.9,20,4
41,21892,-59.9,-90.8,25,10
40,22048,-59.5,-90.7,70,11
38,22371,-58.7,-90.6,110,12
34,23071,-57,-90.4,85,24
30,23860,-55.1,-90.1,80,18
27,24540,-53.6,-89.5,65,15
25,25037,-52.6,-89.2,75,11
23,25575,-51.4,-88.7,55,10
22,25862,-50.8,-88.5,30,10
21,26101,-50.3,-88.3,3,8
20,26480,-51.5,-88.5,320,5
18,26948,-53.9,-89.9,255,2
18,27159,-53.8,-89.8,225,1
17,27526,-53.7,-89.7,140,10
16,27564,-53.7,-89.7,136,10
16,27921,-52,-88.7,100,15
15,28342,-49.9,-87.5,90,22
14,28793,-47.7,-86.2,65,16
13,29030,-46.5,-85.5,0,0
